no,institution_name,sector,licence_type_status,office_number,address,website,mas_profile_url,source_list_url,source_page,verification_date,family_office_classification,telemarketing_priority,calling_status,contact_result,follow_up_date,assigned_to,notes
23,A MONEYLINK EXCHANGE,Payments,Money-changing Licensee,65 62652137,3 COLEMAN STREET #01-26 PENINSULA SHOPPING COMPLEX 179804,,https://eservices.mas.gov.sg/fid/institution/detail/2892-A-MONEYLINK-EXCHANGE,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
24,A WALIMOHAMED BROS,Payments,Money-changing Licensee,65 97506445,70 JELLICOE ROAD #01-05 V HOTEL LAVENDER 208767,,https://eservices.mas.gov.sg/fid/institution/detail/89-A-WALIMOHAMED-BROS,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
25,A-EXPRESS REMIT PTE. LTD.,Payments,Major Payment Institution,65 62359849,304 ORCHARD ROAD #02-28 LUCKY PLAZA 238863,,https://eservices.mas.gov.sg/fid/institution/detail/1528-A-EXPRESS-REMIT-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
26,A. MENARINI RE-INSURANCE PTE. LTD.,Insurance,Captive Insurer (General),+65 6922 8500,"8, MARINA VIEW #09-05 ASIA SQUARE TOWER 1 018960",https://www.menariniapac.com/en/insurance.html,https://eservices.mas.gov.sg/fid/institution/detail/254569-A-MENARINI-RE-INSURANCE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=27&count=100,27,2026-07-11,,,Not Called,,,,
27,A.M. BEST ASIA-PACIFIC (SINGAPORE) PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 63035000,8 CROSS STREET #21-03 MANULIFE TOWER 048424,,https://eservices.mas.gov.sg/fid/institution/detail/4506-A-M-BEST-ASIA-PACIFIC-SINGAPORE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
28,A.R.MONEY EXCHANGE,Payments,Money-changing Licensee,65 64544095,9 BISHAN PLACE #01-K10 JUNCTION 8 SHOPPING CENTRE 579837,,https://eservices.mas.gov.sg/fid/institution/detail/2899-A-R-MONEY-EXCHANGE,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
29,A2Z PRIVATE CAPITAL PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 67373823,138 ROBINSON ROAD #25-04 OXLEY TOWER 068906,http://www.a2zprivcap.com,https://eservices.mas.gov.sg/fid/institution/detail/200459-A2Z-PRIVATE-CAPITAL-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
30,A3 INSURANCE BROKER (S) PTE. LTD.,Insurance,Registered Insurance Broker,+65 63719637,3 MEDIA CLOSE #01-03/06 138498,,https://eservices.mas.gov.sg/fid/institution/detail/228577-A3-INSURANCE-BROKER-S-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
31,AAIC INVESTMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 68845563,180B BENCOOLEN STREET #05-02 THE BENCOOLEN OFFICE TOWER 189648,,https://eservices.mas.gov.sg/fid/institution/detail/4352-AAIC-INVESTMENT-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
32,AAREAL BANK ASIA LIMITED,Banking,Merchant Bank,+65 63729750,3 CHURCH STREET #17-03 SAMSUNG HUB 049483,,https://eservices.mas.gov.sg/fid/institution/detail/1333-AAREAL-BANK-ASIA-LIMITED,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
33,ABA INSURANCE BROKERS PTE. LTD.,Financial Advisory; Insurance,Exempt Financial Adviser; Registered Insurance Broker,+65 69586099,31 HARRISON ROAD #06-02 FOOD EMPIRE BUILDING 369649,http://www.abainsurance.com.sg,https://eservices.mas.gov.sg/fid/institution/detail/246841-ABA-INSURANCE-BROKERS-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
34,ABACARE SINGAPORE PTE. LTD.,Financial Advisory; Insurance,Exempt Financial Adviser; Registered Insurance Broker,+65 63290990,78 SOUTH BRIDGE ROAD #05-01 TKH BUILDING 058708,,https://eservices.mas.gov.sg/fid/institution/detail/200458-ABACARE-SINGAPORE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
35,ABACUS ASIA WEALTH MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 68177757,138 ROBINSON ROAD #10-03 OXLEY TOWER 068906,,https://eservices.mas.gov.sg/fid/institution/detail/2211-ABACUS-ASIA-WEALTH-MANAGEMENT-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
36,ABACUS CAPITAL (S) PTE LTD,Capital Markets,Capital Markets Services Licensee,+65 65367887,"350 ORCHARD ROAD #12-01-03, SHAW HOUSE 238868",http://www.abacuscapital.com,https://eservices.mas.gov.sg/fid/institution/detail/854-ABACUS-CAPITAL-S-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
37,ABAXX CLEARING PTE. LTD.,Capital Markets,Approved Clearing House,+65 60276628,"168 ROBINSON ROAD, #12-08, CAPITAL TOWER 068912",https://www.abaxx.exchange/,https://eservices.mas.gov.sg/fid/institution/detail/420370-ABAXX-CLEARING-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
38,ABAXX EXCHANGE PTE. LTD.,Capital Markets,Recognised Market Operator,+65 60276628,"168 ROBINSON ROAD, #12-08, CAPITAL TOWER 068912",https://www.abaxx.exchange/,https://eservices.mas.gov.sg/fid/institution/detail/420371-ABAXX-EXCHANGE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
39,ABAXX SINGAPORE PTE. LTD.,Capital Markets,Approved Holding Company,+65 60276628,"168 ROBINSON ROAD, #12-08, CAPITAL TOWER 068912",https://www.abaxx.exchange/,https://eservices.mas.gov.sg/fid/institution/detail/420369-ABAXX-SINGAPORE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
40,ABBPE CAPITAL MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 87479428,"20 CECIL STREET, #22-00, PLUS BUILDING 049705",,https://eservices.mas.gov.sg/fid/institution/detail/218718-ABBPE-CAPITAL-MANAGEMENT-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
41,ABC ARBITRAGE ASSET MANAGEMENT ASIA PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 66225401,6 BATTERY ROAD #42-00 049909,http://www.abc-arbitrage.com,https://eservices.mas.gov.sg/fid/institution/detail/4476-ABC-ARBITRAGE-ASSET-MANAGEMENT-ASIA-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
42,ABLE INSURANCE BROKERS PTE LTD,Financial Advisory; Insurance,Exempt Financial Adviser; Registered Insurance Broker,+65 67474333,540 SIMS AVENUE #03-03 SIMS AVENUE CENTRE 387603,,https://eservices.mas.gov.sg/fid/institution/detail/771-ABLE-INSURANCE-BROKERS-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
43,ABN AMRO CLEARING BANK N.V.,Capital Markets; Banking,Exempt Capital Markets Services Entity; Wholesale Bank,+65 65978866,77 ROBINSON ROAD #32-01 ROBINSON 77 068896,,https://eservices.mas.gov.sg/fid/institution/detail/3501-ABN-AMRO-CLEARING-BANK-N-V,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
44,ABN AMRO Clearing Singapore Pte Ltd,Capital Markets,Capital Markets Services Licensee,+65 65978866,77 ROBINSON ROAD #32-01 ROBINSON 77 068896,,https://eservices.mas.gov.sg/fid/institution/detail/1431-ABN-AMRO-Clearing-Singapore-Pte-Ltd,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
45,ABOUND CAPITAL PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 83066875,80 ROBINSON ROAD #08-01 068898,,https://eservices.mas.gov.sg/fid/institution/detail/242084-ABOUND-CAPITAL-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
46,ABOUT INVESTMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 93767058,71 ROBINSON ROAD #14-147 068895,,https://eservices.mas.gov.sg/fid/institution/detail/249325-ABOUT-INVESTMENT-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
47,abrdn Asia Limited,Capital Markets; Financial Advisory,Capital Markets Services Licensee; Exempt Financial Adviser,+65 63952700,7 STRAITS VIEW #23-04 MARINA ONE EAST TOWER 018936,https://www.abrdn.com/,https://eservices.mas.gov.sg/fid/institution/detail/706-abrdn-Asia-Limited,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
48,ACADEMIC CAPITAL PARTNERS PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 91899302,27 PUNGGOL FIELD WALK 828649,http://n/a,https://eservices.mas.gov.sg/fid/institution/detail/428681-ACADEMIC-CAPITAL-PARTNERS-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
49,ACADIAN ASSET MANAGEMENT (SINGAPORE) PTE LTD,Capital Markets,Capital Markets Services Licensee,+65 65082200,"8 MARINA VIEW #40-01, ASIA SQUARE TOWER 1 018960",http://www.acadian-asset.com/,https://eservices.mas.gov.sg/fid/institution/detail/1036-ACADIAN-ASSET-MANAGEMENT-SINGAPORE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
50,ACAENA CAPITAL PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 85033504,10 UBI CRESCENT #06-85 UBI TECHPARK 408564,http://NONE,https://eservices.mas.gov.sg/fid/institution/detail/427405-ACAENA-CAPITAL-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
51,ACCELERATING ASIA VENTURES PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 85228397,6 MARINA BOULEVARD #53-17 THE SAIL 018985,,https://eservices.mas.gov.sg/fid/institution/detail/224292-ACCELERATING-ASIA-VENTURES-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
52,ACCF CAPITAL MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 68081600,10 ANSON ROAD #5-5063 INTERNATIONAL PLAZA 079903,,https://eservices.mas.gov.sg/fid/institution/detail/414409-ACCF-CAPITAL-MANAGEMENT-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
53,ACCION CAPITAL MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 62212216,9 TEMASEK BOULEVARD #15-03A SUNTEC TOWER TWO 038989,http://WWW.ACCIONSG.COM,https://eservices.mas.gov.sg/fid/institution/detail/2221-ACCION-CAPITAL-MANAGEMENT-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
54,ACCLAIM INSURANCE BROKERS PTE. LTD.,Financial Advisory; Insurance,Exempt Financial Adviser; Registered Insurance Broker,+65 62255880,19 KEPPEL ROAD #05-00 JIT POH BUILDING 089058,,https://eservices.mas.gov.sg/fid/institution/detail/370-ACCLAIM-INSURANCE-BROKERS-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
55,ACCORD INSURANCE BROKING PTE. LTD.,Insurance,Registered Insurance Broker,+65 68169933,48 TOH GUAN ROAD EAST #01-151 ENTERPRISE HUB 608586,https://aib.sg/,https://eservices.mas.gov.sg/fid/institution/detail/435787-ACCORD-INSURANCE-BROKING-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
56,ACCUPIT INVESTMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 64071071,8 MARINA VIEW #42-01 ASIA SQUARE TOWER 1 018960,,https://eservices.mas.gov.sg/fid/institution/detail/432226-ACCUPIT-INVESTMENT-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
57,ACE BROKER PTE. LTD.,Financial Advisory; Insurance,Exempt Financial Adviser; Registered Insurance Broker,+65 87667991,351 JURONG EAST STREET 31 #01-79 YUHUA PLACE 600351,,https://eservices.mas.gov.sg/fid/institution/detail/432073-ACE-BROKER-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
58,ACE CAPITAL VENTURES PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 98776292,60 PAYA LEBAR ROAD #12-08 PAYA LEBAR SQUARE 409051,,https://eservices.mas.gov.sg/fid/institution/detail/227136-ACE-CAPITAL-VENTURES-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
59,ACG MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 65115350,111 SOMERSET ROAD #14-22 111 SOMERSET 238164,,https://eservices.mas.gov.sg/fid/institution/detail/2202-ACG-MANAGEMENT-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
60,ACORE CAPITAL INVESTMENTS PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 62914368,59 MOHAMED SULTAN ROAD #01-08/09 SULTAN LINK 238999,http://WWW.ACORECAP.COM.SG,https://eservices.mas.gov.sg/fid/institution/detail/200936-ACORE-CAPITAL-INVESTMENTS-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
61,ACPG ASSET MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 97481397,350 ORCHARD ROAD #18-04 SHAW HOUSE 238868,,https://eservices.mas.gov.sg/fid/institution/detail/413306-ACPG-ASSET-MANAGEMENT-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
62,ACRE CAPITAL PTE. LTD.,Capital Markets; Financial Advisory,Capital Markets Services Licensee; Exempt Financial Adviser,+65 66706653,160 ROBINSON ROAD #18-05 SBF CENTRE 068914,https://acrecap.com,https://eservices.mas.gov.sg/fid/institution/detail/237109-ACRE-CAPITAL-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
63,ACRES100 CAPITAL MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 80639089,40A ORCHARD ROAD #03-01 238838,,https://eservices.mas.gov.sg/fid/institution/detail/232641-ACRES100-CAPITAL-MANAGEMENT-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
64,ACROPHYTE HOSPITALITY TRUST MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 68359232,"10 ANSON ROAD, #23-15 INTERNATIONAL PLAZA 079903",,https://eservices.mas.gov.sg/fid/institution/detail/224075-ACROPHYTE-HOSPITALITY-TRUST-MANAGEMENT-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
65,ACTELLIGENT PRIVATE LIMITED,Capital Markets,Capital Markets Services Licensee,+65 94328007,8 MARINA VIEW #42-01 ASIA SQUARE TOWER 1 018960,,https://eservices.mas.gov.sg/fid/institution/detail/253987-ACTELLIGENT-PRIVATE-LIMITED,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
66,ACTUALS FINANCIAL PTE. LTD.,Insurance; Financial Advisory,Exempt Insurance Broker; Licensed Financial Adviser,+65 98786949,7 HARVEY ROAD #10-02B LEBOND 369613,https://www.actualsfinancial.com/,https://eservices.mas.gov.sg/fid/institution/detail/410492-ACTUALS-FINANCIAL-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
67,ACTUS CAPITAL MANAGEMENT PRIVATE LIMITED,Capital Markets,Capital Markets Services Licensee,+65 66312895,50 RAFFLES PLACE #19-00 SINGAPORE LAND TOWER 048623,http://www.actuscapmgmt.com,https://eservices.mas.gov.sg/fid/institution/detail/4034-ACTUS-CAPITAL-MANAGEMENT-PRIVATE-LIMITED,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
68,ACV CAPITAL PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 68176861,3 TEMASEK AVENUE #17-26 CENTENNIAL TOWER 039190,,https://eservices.mas.gov.sg/fid/institution/detail/246853-ACV-CAPITAL-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
69,ADAMS STREET PARTNERS SINGAPORE PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 63038730,250 NORTH BRIDGE ROAD #12-01RAFFLES CITY TOWER 179101,http://www.adamsstreetpartners.com,https://eservices.mas.gov.sg/fid/institution/detail/2535-ADAMS-STREET-PARTNERS-SINGAPORE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
70,ADANSONIA FUND MANAGER PRIVATE LIMITED,Capital Markets,Capital Markets Services Licensee,+65 84286614,"63 CHULIA STREET, #15-01 049514",http://adansoniaholdings.com,https://eservices.mas.gov.sg/fid/institution/detail/253113-ADANSONIA-FUND-MANAGER-PRIVATE-LIMITED,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
71,ADAPTIVE CAPITAL PARTNERS PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 68238317,150 CECIL STREET #05-01 069543,,https://eservices.mas.gov.sg/fid/institution/detail/246825-ADAPTIVE-CAPITAL-PARTNERS-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
72,ADDX PTE. LTD.,Capital Markets; Financial Advisory,Capital Markets Services Licensee; Exempt Financial Adviser; Recognised Market Operator,+65 68563500,8 KALLANG AVENUE #13-01/04 APERIA 339509,https://www.addx.co/en/,https://eservices.mas.gov.sg/fid/institution/detail/246926-ADDX-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
