licence_record_no,institution_no,institution_name,sector,licence_type_status,office_number,address,website,mas_profile_url,source_page,verification_date
43,37,ABAXX CLEARING PTE. LTD.,Capital Markets,Approved Clearing House,+65 60276628,"168 ROBINSON ROAD, #12-08, CAPITAL TOWER 068912",https://www.abaxx.exchange/,https://eservices.mas.gov.sg/fid/institution/detail/420370-ABAXX-CLEARING-PTE-LTD,1,2026-07-11
44,38,ABAXX EXCHANGE PTE. LTD.,Capital Markets,Recognised Market Operator,+65 60276628,"168 ROBINSON ROAD, #12-08, CAPITAL TOWER 068912",https://www.abaxx.exchange/,https://eservices.mas.gov.sg/fid/institution/detail/420371-ABAXX-EXCHANGE-PTE-LTD,1,2026-07-11
45,39,ABAXX SINGAPORE PTE. LTD.,Capital Markets,Approved Holding Company,+65 60276628,"168 ROBINSON ROAD, #12-08, CAPITAL TOWER 068912",https://www.abaxx.exchange/,https://eservices.mas.gov.sg/fid/institution/detail/420369-ABAXX-SINGAPORE-PTE-LTD,1,2026-07-11
46,40,ABBPE CAPITAL MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 87479428,"20 CECIL STREET, #22-00, PLUS BUILDING 049705",,https://eservices.mas.gov.sg/fid/institution/detail/218718-ABBPE-CAPITAL-MANAGEMENT-PTE-LTD,1,2026-07-11
47,41,ABC ARBITRAGE ASSET MANAGEMENT ASIA PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 66225401,6 BATTERY ROAD #42-00 049909,http://www.abc-arbitrage.com,https://eservices.mas.gov.sg/fid/institution/detail/4476-ABC-ARBITRAGE-ASSET-MANAGEMENT-ASIA-PTE-LTD,1,2026-07-11
48,42,ABLE INSURANCE BROKERS PTE LTD,Insurance,Registered Insurance Broker,+65 67474333,540 SIMS AVENUE #03-03 SIMS AVENUE CENTRE 387603,,https://eservices.mas.gov.sg/fid/institution/detail/771-ABLE-INSURANCE-BROKERS-PTE-LTD,1,2026-07-11
49,42,ABLE INSURANCE BROKERS PTE LTD,Financial Advisory,Exempt Financial Adviser,+65 67474333,540 SIMS AVENUE #03-03 SIMS AVENUE CENTRE 387603,,https://eservices.mas.gov.sg/fid/institution/detail/771-ABLE-INSURANCE-BROKERS-PTE-LTD,1,2026-07-11
50,43,ABN AMRO CLEARING BANK N.V.,Banking,Wholesale Bank,+65 65978866,77 ROBINSON ROAD #32-01 ROBINSON 77 068896,,https://eservices.mas.gov.sg/fid/institution/detail/3501-ABN-AMRO-CLEARING-BANK-N-V,1,2026-07-11
51,43,ABN AMRO CLEARING BANK N.V.,Capital Markets,Exempt Capital Markets Services Entity,+65 65978866,77 ROBINSON ROAD #32-01 ROBINSON 77 068896,,https://eservices.mas.gov.sg/fid/institution/detail/3501-ABN-AMRO-CLEARING-BANK-N-V,1,2026-07-11
52,44,ABN AMRO Clearing Singapore Pte Ltd,Capital Markets,Capital Markets Services Licensee,+65 65978866,77 ROBINSON ROAD #32-01 ROBINSON 77 068896,,https://eservices.mas.gov.sg/fid/institution/detail/1431-ABN-AMRO-Clearing-Singapore-Pte-Ltd,1,2026-07-11
53,45,ABOUND CAPITAL PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 83066875,80 ROBINSON ROAD #08-01 068898,,https://eservices.mas.gov.sg/fid/institution/detail/242084-ABOUND-CAPITAL-PTE-LTD,1,2026-07-11
54,46,ABOUT INVESTMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 93767058,71 ROBINSON ROAD #14-147 068895,,https://eservices.mas.gov.sg/fid/institution/detail/249325-ABOUT-INVESTMENT-PTE-LTD,1,2026-07-11
55,47,abrdn Asia Limited,Capital Markets,Capital Markets Services Licensee,+65 63952700,7 STRAITS VIEW #23-04 MARINA ONE EAST TOWER 018936,https://www.abrdn.com/,https://eservices.mas.gov.sg/fid/institution/detail/706-abrdn-Asia-Limited,1,2026-07-11
56,47,abrdn Asia Limited,Financial Advisory,Exempt Financial Adviser,+65 63952700,7 STRAITS VIEW #23-04 MARINA ONE EAST TOWER 018936,https://www.abrdn.com/,https://eservices.mas.gov.sg/fid/institution/detail/706-abrdn-Asia-Limited,1,2026-07-11
57,48,ACADEMIC CAPITAL PARTNERS PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 91899302,27 PUNGGOL FIELD WALK 828649,http://n/a,https://eservices.mas.gov.sg/fid/institution/detail/428681-ACADEMIC-CAPITAL-PARTNERS-PTE-LTD,1,2026-07-11
58,49,ACADIAN ASSET MANAGEMENT (SINGAPORE) PTE LTD,Capital Markets,Capital Markets Services Licensee,+65 65082200,"8 MARINA VIEW #40-01, ASIA SQUARE TOWER 1 018960",http://www.acadian-asset.com/,https://eservices.mas.gov.sg/fid/institution/detail/1036-ACADIAN-ASSET-MANAGEMENT-SINGAPORE-PTE-LTD,1,2026-07-11
59,50,ACAENA CAPITAL PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 85033504,10 UBI CRESCENT #06-85 UBI TECHPARK 408564,http://NONE,https://eservices.mas.gov.sg/fid/institution/detail/427405-ACAENA-CAPITAL-PTE-LTD,1,2026-07-11
60,51,ACCELERATING ASIA VENTURES PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 85228397,6 MARINA BOULEVARD #53-17 THE SAIL 018985,,https://eservices.mas.gov.sg/fid/institution/detail/224292-ACCELERATING-ASIA-VENTURES-PTE-LTD,1,2026-07-11
61,52,ACCF CAPITAL MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 68081600,10 ANSON ROAD #5-5063 INTERNATIONAL PLAZA 079903,,https://eservices.mas.gov.sg/fid/institution/detail/414409-ACCF-CAPITAL-MANAGEMENT-PTE-LTD,1,2026-07-11
62,53,ACCION CAPITAL MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 62212216,9 TEMASEK BOULEVARD #15-03A SUNTEC TOWER TWO 038989,http://WWW.ACCIONSG.COM,https://eservices.mas.gov.sg/fid/institution/detail/2221-ACCION-CAPITAL-MANAGEMENT-PTE-LTD,1,2026-07-11
63,54,ACCLAIM INSURANCE BROKERS PTE. LTD.,Insurance,Registered Insurance Broker,+65 62255880,19 KEPPEL ROAD #05-00 JIT POH BUILDING 089058,,https://eservices.mas.gov.sg/fid/institution/detail/370-ACCLAIM-INSURANCE-BROKERS-PTE-LTD,1,2026-07-11
64,54,ACCLAIM INSURANCE BROKERS PTE. LTD.,Financial Advisory,Exempt Financial Adviser,+65 62255880,19 KEPPEL ROAD #05-00 JIT POH BUILDING 089058,,https://eservices.mas.gov.sg/fid/institution/detail/370-ACCLAIM-INSURANCE-BROKERS-PTE-LTD,1,2026-07-11
65,55,ACCORD INSURANCE BROKING PTE. LTD.,Insurance,Registered Insurance Broker,+65 68169933,48 TOH GUAN ROAD EAST #01-151 ENTERPRISE HUB 608586,https://aib.sg/,https://eservices.mas.gov.sg/fid/institution/detail/435787-ACCORD-INSURANCE-BROKING-PTE-LTD,1,2026-07-11
66,56,ACCUPIT INVESTMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 64071071,8 MARINA VIEW #42-01 ASIA SQUARE TOWER 1 018960,,https://eservices.mas.gov.sg/fid/institution/detail/432226-ACCUPIT-INVESTMENT-PTE-LTD,1,2026-07-11
67,57,ACE BROKER PTE. LTD.,Insurance,Registered Insurance Broker,+65 87667991,351 JURONG EAST STREET 31 #01-79 YUHUA PLACE 600351,,https://eservices.mas.gov.sg/fid/institution/detail/432073-ACE-BROKER-PTE-LTD,1,2026-07-11
68,57,ACE BROKER PTE. LTD.,Financial Advisory,Exempt Financial Adviser,+65 87667991,351 JURONG EAST STREET 31 #01-79 YUHUA PLACE 600351,,https://eservices.mas.gov.sg/fid/institution/detail/432073-ACE-BROKER-PTE-LTD,1,2026-07-11
69,58,ACE CAPITAL VENTURES PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 98776292,60 PAYA LEBAR ROAD #12-08 PAYA LEBAR SQUARE 409051,,https://eservices.mas.gov.sg/fid/institution/detail/227136-ACE-CAPITAL-VENTURES-PTE-LTD,1,2026-07-11
70,59,ACG MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 65115350,111 SOMERSET ROAD #14-22 111 SOMERSET 238164,,https://eservices.mas.gov.sg/fid/institution/detail/2202-ACG-MANAGEMENT-PTE-LTD,1,2026-07-11
71,60,ACORE CAPITAL INVESTMENTS PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 62914368,59 MOHAMED SULTAN ROAD #01-08/09 SULTAN LINK 238999,http://WWW.ACORECAP.COM.SG,https://eservices.mas.gov.sg/fid/institution/detail/200936-ACORE-CAPITAL-INVESTMENTS-PTE-LTD,1,2026-07-11
72,61,ACPG ASSET MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 97481397,350 ORCHARD ROAD #18-04 SHAW HOUSE 238868,,https://eservices.mas.gov.sg/fid/institution/detail/413306-ACPG-ASSET-MANAGEMENT-PTE-LTD,1,2026-07-11
73,62,ACRE CAPITAL PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 66706653,160 ROBINSON ROAD #18-05 SBF CENTRE 068914,https://acrecap.com,https://eservices.mas.gov.sg/fid/institution/detail/237109-ACRE-CAPITAL-PTE-LTD,1,2026-07-11
74,62,ACRE CAPITAL PTE. LTD.,Financial Advisory,Exempt Financial Adviser,+65 66706653,160 ROBINSON ROAD #18-05 SBF CENTRE 068914,https://acrecap.com,https://eservices.mas.gov.sg/fid/institution/detail/237109-ACRE-CAPITAL-PTE-LTD,1,2026-07-11
75,63,ACRES100 CAPITAL MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 80639089,40A ORCHARD ROAD #03-01 238838,,https://eservices.mas.gov.sg/fid/institution/detail/232641-ACRES100-CAPITAL-MANAGEMENT-PTE-LTD,1,2026-07-11
76,64,ACROPHYTE HOSPITALITY TRUST MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 68359232,"10 ANSON ROAD, #23-15 INTERNATIONAL PLAZA 079903",,https://eservices.mas.gov.sg/fid/institution/detail/224075-ACROPHYTE-HOSPITALITY-TRUST-MANAGEMENT-PTE-LTD,1,2026-07-11
77,65,ACTELLIGENT PRIVATE LIMITED,Capital Markets,Capital Markets Services Licensee,+65 94328007,8 MARINA VIEW #42-01 ASIA SQUARE TOWER 1 018960,,https://eservices.mas.gov.sg/fid/institution/detail/253987-ACTELLIGENT-PRIVATE-LIMITED,1,2026-07-11
78,66,ACTUALS FINANCIAL PTE. LTD.,Financial Advisory,Licensed Financial Adviser,+65 98786949,7 HARVEY ROAD #10-02B LEBOND 369613,https://www.actualsfinancial.com/,https://eservices.mas.gov.sg/fid/institution/detail/410492-ACTUALS-FINANCIAL-PTE-LTD,1,2026-07-11
79,66,ACTUALS FINANCIAL PTE. LTD.,Insurance,Exempt Insurance Broker,+65 98786949,7 HARVEY ROAD #10-02B LEBOND 369613,https://www.actualsfinancial.com/,https://eservices.mas.gov.sg/fid/institution/detail/410492-ACTUALS-FINANCIAL-PTE-LTD,1,2026-07-11
80,67,ACTUS CAPITAL MANAGEMENT PRIVATE LIMITED,Capital Markets,Capital Markets Services Licensee,+65 66312895,50 RAFFLES PLACE #19-00 SINGAPORE LAND TOWER 048623,http://www.actuscapmgmt.com,https://eservices.mas.gov.sg/fid/institution/detail/4034-ACTUS-CAPITAL-MANAGEMENT-PRIVATE-LIMITED,1,2026-07-11
81,68,ACV CAPITAL PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 68176861,3 TEMASEK AVENUE #17-26 CENTENNIAL TOWER 039190,,https://eservices.mas.gov.sg/fid/institution/detail/246853-ACV-CAPITAL-PTE-LTD,1,2026-07-11
82,69,ADAMS STREET PARTNERS SINGAPORE PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 63038730,250 NORTH BRIDGE ROAD #12-01RAFFLES CITY TOWER 179101,http://www.adamsstreetpartners.com,https://eservices.mas.gov.sg/fid/institution/detail/2535-ADAMS-STREET-PARTNERS-SINGAPORE-PTE-LTD,1,2026-07-11
83,70,ADANSONIA FUND MANAGER PRIVATE LIMITED,Capital Markets,Capital Markets Services Licensee,+65 84286614,"63 CHULIA STREET, #15-01 049514",http://adansoniaholdings.com,https://eservices.mas.gov.sg/fid/institution/detail/253113-ADANSONIA-FUND-MANAGER-PRIVATE-LIMITED,1,2026-07-11
84,71,ADAPTIVE CAPITAL PARTNERS PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 68238317,150 CECIL STREET #05-01 069543,,https://eservices.mas.gov.sg/fid/institution/detail/246825-ADAPTIVE-CAPITAL-PARTNERS-PTE-LTD,1,2026-07-11
85,72,ADDX PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 68563500,8 KALLANG AVENUE #13-01/04 APERIA 339509,https://www.addx.co/en/,https://eservices.mas.gov.sg/fid/institution/detail/246926-ADDX-PTE-LTD,1,2026-07-11
86,72,ADDX PTE. LTD.,Capital Markets,Recognised Market Operator,+65 68563500,8 KALLANG AVENUE #13-01/04 APERIA 339509,https://www.addx.co/en/,https://eservices.mas.gov.sg/fid/institution/detail/246926-ADDX-PTE-LTD,1,2026-07-11
87,72,ADDX PTE. LTD.,Financial Advisory,Exempt Financial Adviser,+65 68563500,8 KALLANG AVENUE #13-01/04 APERIA 339509,https://www.addx.co/en/,https://eservices.mas.gov.sg/fid/institution/detail/246926-ADDX-PTE-LTD,1,2026-07-11
88,73,ADITYA BIRLA SUN LIFE ASSET MANAGEMENT COMPANY PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 65362721,16 RAFFLES QUAY #32-04 HONG LEONG BUILDING 048581,,https://eservices.mas.gov.sg/fid/institution/detail/2289-ADITYA-BIRLA-SUN-LIFE-ASSET-MANAGEMENT-COMPANY-PTE-LTD,1,2026-07-11
89,73,ADITYA BIRLA SUN LIFE ASSET MANAGEMENT COMPANY PTE. LTD.,Financial Advisory,Exempt Financial Adviser,+65 65362721,16 RAFFLES QUAY #32-04 HONG LEONG BUILDING 048581,,https://eservices.mas.gov.sg/fid/institution/detail/2289-ADITYA-BIRLA-SUN-LIFE-ASSET-MANAGEMENT-COMPANY-PTE-LTD,1,2026-07-11
90,74,ADMIS SINGAPORE PTE. LIMITED,Capital Markets,Capital Markets Services Licensee,+65 66323000,230 VICTORIA STREET #11-06 BUGIS JUNCTION TOWERS 188024,http://www.admis.com,https://eservices.mas.gov.sg/fid/institution/detail/1960-ADMIS-SINGAPORE-PTE-LIMITED,1,2026-07-11
91,75,ADTENTUS ASSET MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 62603950,105 CECIL STREET #11-00 THE OCTAGON (OFFICE SUITE 1122) 069534,,https://eservices.mas.gov.sg/fid/institution/detail/201201-ADTENTUS-ASSET-MANAGEMENT-PTE-LTD,1,2026-07-11
92,76,ADV PARTNERS MANAGEMENT PTE. LIMITED,Capital Markets,Capital Markets Services Licensee,+65 63579149,152 BEACH ROAD #37-08 GATEWAY EAST 189721,http://www.advpartners.com,https://eservices.mas.gov.sg/fid/institution/detail/200182-ADV-PARTNERS-MANAGEMENT-PTE-LIMITED,1,2026-07-11
93,77,ADVANCE TALENT HOLDING PRIVATE LIMITED,Capital Markets,Capital Markets Services Licensee,+65 96100785,30 RAFFLES PLACE #12-01 048622,,https://eservices.mas.gov.sg/fid/institution/detail/428686-ADVANCE-TALENT-HOLDING-PRIVATE-LIMITED,1,2026-07-11
